# mesh name: gammaMesh
# primitive scorer name: edep
# iX, iY, iZ, total(value) [eV], total(val^2), entry
1,40,0,113365378.7980485,607110229034481.9,83
1,41,0,80916516.37165196,476936527491853.9,80
1,42,0,82637157.97456627,323391232027170.2,74
1,43,0,64430933.52126269,302037340318640.9,59
1,44,0,99511111.81082632,434851773077321.2,92
1,45,0,106746859.7517377,385054457767530.8,87
1,46,0,114128791.1573631,559067861084452.3,74
1,47,0,92158167.04816441,451571668687811.2,76
1,48,0,101804916.2797785,523943205429697.9,78
1,49,0,109215053.5642524,503218323786287.6,97
1,50,0,88368450.36976555,398032007650719.6,74
1,51,0,97613812.30393276,350983987300075.9,81
1,52,0,140590986.1615919,649159351473403.9,89
1,53,0,91830829.47048829,315118128473537.9,84
1,54,0,113776268.4794829,878406110568304.9,79
1,55,0,100447938.6010353,419419157353661.3,82
1,56,0,100329388.5956426,467340389470843.2,74
1,57,0,87595406.10426995,346973243055166.6,88
1,58,0,94044339.99905135,363002934456035,85
1,59,0,79723671.17940544,362711849848911.8,76
1,60,0,84275696.01439206,378145619122626.6,71
1,61,0,81106542.27876499,306843975619573.1,76
1,62,0,102747126.0543249,501402641399423.8,79
1,63,0,73417091.30671918,218202722213974.5,71
1,64,0,64334011.43009069,253659521960185.8,65
1,65,0,120328212.9141404,628643900059884,72
1,66,0,122235658.6603252,529077229692909.2,87
1,67,0,97103113.40784208,341209018584629.7,88
1,68,0,88137698.84821272,450048665766185.1,77
1,69,0,70287651.39951614,270321466540996.7,63
1,70,0,97273777.41563228,388397441692934.2,79
1,71,0,82829155.00502744,278038659855769.7,78
1,72,0,77273993.3406713,239529064563518.9,68
1,73,0,59208207.28910427,259108443661810.7,60
1,74,0,73891988.56651698,282754668271660.9,50
2,0,0,44096264.72275456,176242342267427.9,51
2,1,0,111159867.0969674,538248718808786.4,70
2,2,0,123669531.0119308,507144238296086.6,89
2,3,0,80063143.21283808,343359360483844.2,80
2,4,0,83151516.29473698,250133675690586.1,77
2,5,0,113217549.9790999,428962713109178.2,85
2,6,0,105236149.3169383,386240192883518.1,90
2,7,0,120975377.1557734,558158992522539.1,88
2,8,0,102992297.7122286,711729652043692.8,75
2,9,0,116274130.8084853,719024768796717,80
2,10,0,140795229.2647389,858737780845476.6,94
2,11,0,88230500.03015089,251238557983356.1,86
2,12,0,90633298.71335424,388515440906095.3,79
2,13,0,95043837.66088407,307168297468386.9,86
2,14,0,105176087.564931,459437606970179.1,78
2,15,0,116682526.5312257,524655412105242.2,85
2,16,0,108841706.6738279,484940771233565.6,81
2,17,0,79062692.69596183,232512739406406,85
2,18,0,64263146.41319402,207799896264153.9,73
2,19,0,88265749.88757539,425960102719475.9,80
2,20,0,142557901.8184271,635104193934529.8,85
2,21,0,92961492.49117114,313759926271263.8,83
2,22,0,76142940.16449253,225565765610952.3,80
2,23,0,74709016.80354749,310492866194089,77
2,24,0,58231022.08890361,240304491667653.2,71
2,25,0,89725230.81032319,341445122370664.9,87
2,26,0,92820229.70538415,305182983916612.8,90
2,27,0,119579439.0721044,474749342963564.9,93
2,28,0,92883598.46000205,348892456742165.9,85
2,29,0,100986393.2999449,470034667278911.1,81
2,30,0,108536457.3395677,562820764929623.6,74
2,31,0,62947763.85328445,204248712952772.7,67
2,32,0,113730951.0243926,539258590087417,81
2,33,0,83879526.75324157,375814633166331.4,73
2,34,0,136072353.9359061,810762781814527.2,88
2,35,0,99097854.03870262,306410911894060.9,96
2,36,0,79238612.08998173,242554495086960.7,80
2,37,0,92452804.50980563,369827343495425.8,81
2,38,0,82405259.76131517,270081973147848.2,85
2,39,0,109370288.2929511,388349544532358.2,79
2,40,0,127265270.5985474,615550968510776.4,87
2,41,0,90968565.75537269,395902891245405.2,86
2,42,0,102607163.4184234,483877031430560.8,86
2,43,0,103785373.9633621,464267314920270.4,80
2,44,0,88873298.91137388,412194081823565.6,79
2,45,0,93418568.6052822,325147248431915.8,92
2,46,0,92768491.33973925,373711561647409.3,92
2,47,0,105616895.3672146,404459655002002.9,86
2,48,0,123019074.8562608,735963976603250.6,95
2,49,0,170187754.5097147,865093235155905.2,104
2,50,0,111957267.201864,489184610513436.4,100
2,51,0,92273133.99511139,379785904334625.1,84
2,52,0,91419209.63927171,328223110059282.4,90
2,53,0,100634095.8277889,369637867601079.9,88
2,54,0,86236823.88985722,270265100826496.4,96
2,55,0,96425421.66979557,518140582483935.9,98
2,56,0,104641620.8569333,515318534651141.1,76
2,57,0,104272726.3809171,392090520095646.6,91
2,58,0,125006394.8717224,584136387456907.6,104
2,59,0,108715331.636214,472783191932358.2,86
2,60,0,112317830.6071855,472034536302687.8,82
2,61,0,105777743.0089079,472178412448641,87
2,62,0,65358605.45342518,198675166276610.5,84
2,63,0,77144630.30436546,358525874813324.9,74
2,64,0,82292821.76772532,327972358698426.2,69
2,65,0,93922867.09092219,410363722576207.9,79
2,66,0,86784548.52278788,204451265309660.4,84
2,67,0,93766912.24875084,388148130661609.8,93
2,68,0,156439246.0760211,817016050884797.4,92
2,69,0,69075886.71011174,204549790120538.3,83
2,70,0,72668125.68831034,276609235323203.6,87
2,71,0,105696754.7920494,402376309431063.9,89
2,72,0,98250582.20838284,422685024460273.6,82
2,73,0,125901810.9741279,521405982734384.5,86
2,74,0,80614095.50634955,335143540312940.2,55
3,0,0,67853374.821251,230479319880689.8,47
3,1,0,75809512.29145047,422251596590836.5,59
3,2,0,141240590.7981088,1116999438967432,80
3,3,0,117536535.8009747,456168450418495.9,89
3,4,0,91013078.34513076,294030510911345.9,82
3,5,0,91086455.76764329,241114354678689.9,89
3,6,0,120584086.3556353,486357229045524.4,98
3,7,0,101377659.3166776,440275045767221.4,90
3,8,0,88403091.06454216,330522777192897.9,94
3,9,0,97487627.49445598,327888770507573.2,72
3,10,0,128811050.6635029,602582740377707.4,89
3,11,0,77891780.3990463,232542709099283.3,89
3,12,0,98842471.55049004,379468258781602.6,86
3,13,0,77056030.51402666,225265712873306.6,93
3,14,0,82540922.6418753,302730777460676.5,67
3,15,0,92822524.46086702,322233788663758.9,82
3,16,0,94908666.4668937,343990801792092.7,90
3,17,0,106481267.2387064,458291763790583.4,86
3,18,0,57228709.44843267,162168691668992.1,65
3,19,0,82465818.74723847,277278302649864,72
3,20,0,110327206.217884,483474024011553.8,94
3,21,0,54436957.54315848,205793537997955.3,72
3,22,0,74176571.59010136,235423510635476,79
3,23,0,101297865.330497,599469987496068,80
3,24,0,62208360.14875972,167406021841400.9,74
3,25,0,91719343.80724968,385064261541763.6,75
3,26,0,100188230.3484976,393394108072918.2,97
3,27,0,133597801.7027261,616293129336800.4,89
3,28,0,91275870.38144666,304848299742086.5,91
3,29,0,141380166.5834679,863468889574913.8,79
3,30,0,90184272.08690929,535611723533955.1,74
3,31,0,89235552.65110764,438559343898616.9,67
3,32,0,91081105.90647732,351248347610987.1,69
3,33,0,110148894.5666843,529172412920005.4,84
3,34,0,128115446.9047212,640004211560604.9,84
3,35,0,100593575.2369147,527603340746368.8,85
3,36,0,95854139.97823225,547477832437241.4,86
3,37,0,130398259.3848558,700646414435205.8,94
3,38,0,78282653.09128526,371881361442736.9,76
3,39,0,82880248.36272882,261775239018692.8,94
3,40,0,155089052.6746374,1195326942530552,72
3,41,0,108914774.6480454,420661480268279.3,94
